,sensitivity,oracle_agreement,separability,noise_robustness,scene_independence,compute_ms,exponent,compute_score
voxel_pca_crispness,0.7697574870068901,0.540952380952381,0.8134259259259259,0.9758070351633726,0.9923943665151952,213.9462920000028,1.0702886903064925,0.0005662847330763285
mme_grid,0.7977638685596795,0.6109523809523808,0.7704218106995885,0.8620353897808726,0.901123927117772,216.42850000000635,1.0645155402785325,0.0
mom_planarity,0.6729901920088346,0.5710553799459598,0.8494470164609055,1.0,0.9506834399502158,213.78554200001076,1.0662174307264591,0.0006034091028326457
bev_edge_density,0.19207361676875695,0.22738095238095235,0.4896347736625515,1.0,0.5485479759722072,9.163708000016868,0.8849987112622362,0.9999999893378912
knn_entropy_mme,0.9745802774675887,0.9216666666666665,0.8915380658436214,0.8963746636203322,0.9500704234581872,80.07100000000378,0.5525224590823603,0.08247838340300472
