scene,mode,tier,level,seed,drift_intensity,n_points,voxel_pca_crispness,mme_grid,mom_planarity,bev_edge_density,knn_entropy_mme,chamfer_oracle,realized.range_noise_sigma,realized.b_a_mps2,realized.b_a_mg,realized.b_g_rad_s,realized.b_g_dph,realized.n_objects,realized.dropout_prob,realized.max_range,realized.peak_yaw_rad,realized.step_sigma
room,gyro_bias,bias,1.0,2,0.49005445460573926,691200,0.8701956009021385,0.40505632260747265,0.6666666666666666,0.1974015058713458,17.86221977741875,0.18591004849073847,,,,0.0001,20.626480624709636,,,,,
room,dynamic_objects,catastrophic,0.0,0,0.0,691200,0.9766318206421989,0.7556479288184342,0.9062598301352627,0.22230090393238885,19.641801304823776,0.1332455964054554,,,,,,1.0,,,,
room,dynamic_objects,catastrophic,0.0,1,0.0,691200,0.9779263617158265,0.760405857368838,0.8351596743894804,0.2198850899504534,19.653276576159385,0.1336318938906995,,,,,,1.0,,,,
room,dynamic_objects,catastrophic,0.0,2,0.0,691200,0.9799269570175084,0.7780733014341347,0.9217445097432725,0.21669685563229757,19.69707866094125,0.1296926901576147,,,,,,1.0,,,,
room,dynamic_objects,catastrophic,0.2,0,0.0,691200,0.9754639546023525,0.7485586936020301,0.9007271577616187,0.22165414705844638,19.597672498856102,0.1369091068220523,,,,,,2.0,,,,
room,dynamic_objects,catastrophic,0.2,1,0.0,691200,0.9775323117634722,0.7576903362652111,0.8341436637390214,0.2208169614952617,19.645064708624737,0.1343779008366674,,,,,,2.0,,,,
room,dynamic_objects,catastrophic,0.2,2,0.0,691200,0.9774086496998158,0.7611833776664337,0.9118654624727499,0.21612782992147636,19.642521051276983,0.13264647166601365,,,,,,2.0,,,,
room,dynamic_objects,catastrophic,0.4,0,0.0,691200,0.9730063869019095,0.7338566966764564,0.8931297709923665,0.22128623711053488,19.552319107668662,0.1412847729424695,,,,,,3.0,,,,
room,dynamic_objects,catastrophic,0.4,1,0.0,691200,0.9773952965711745,0.7567099375621833,0.8340140328830244,0.22069705140826767,19.641618952982927,0.13504054779661734,,,,,,3.0,,,,
room,dynamic_objects,catastrophic,0.4,2,0.0,691200,0.976648130734398,0.7570352441521434,0.9074189526184538,0.21744440978328855,19.601264144353614,0.13414333046071406,,,,,,3.0,,,,
room,dynamic_objects,catastrophic,0.6,0,0.0,691200,0.9726239142905296,0.7315948722692375,0.8915470494417863,0.22113775704481103,19.54655999727665,0.1418056962811744,,,,,,4.0,,,,
room,dynamic_objects,catastrophic,0.6,1,0.0,691200,0.9768118659204907,0.7530209142182036,0.8314358001265022,0.22003935206242,19.609253993481047,0.13785105973383693,,,,,,4.0,,,,
room,dynamic_objects,catastrophic,0.6,2,0.0,691200,0.9761373611801537,0.753856776775869,0.9051186017478152,0.21719006717775616,19.59486845012091,0.13440238357811207,,,,,,4.0,,,,
room,dynamic_objects,catastrophic,0.8,0,0.0,691200,0.9734250504550379,0.7355997547619002,0.8938334392879848,0.22093093278804862,19.552644691261953,0.14369253798285414,,,,,,5.0,,,,
room,dynamic_objects,catastrophic,0.8,1,0.0,691200,0.976750757342794,0.7526519949961258,0.8311458992199031,0.2199928446342007,19.607271800003158,0.13796969712665283,,,,,,5.0,,,,
room,dynamic_objects,catastrophic,0.8,2,0.0,691200,0.9756494340503693,0.7511124274147141,0.9029338327091136,0.2170450822269951,19.586195985827246,0.13477066750303182,,,,,,5.0,,,,
room,dynamic_objects,catastrophic,1.0,0,0.0,691200,0.9737522721644087,0.7369675965138275,0.8944178628389154,0.22094072137069767,19.5526073086353,0.14494963246004855,,,,,,6.0,,,,
room,dynamic_objects,catastrophic,1.0,1,0.0,691200,0.9762814841711948,0.7496056542898449,0.8297939778129954,0.21968875348883632,19.574380506436416,0.1414580846456126,,,,,,6.0,,,,
room,dynamic_objects,catastrophic,1.0,2,0.0,691200,0.9759120352756246,0.7524786149800418,0.9040924711027803,0.21705761853252997,19.58041642107722,0.13519336798391612,,,,,,6.0,,,,
room,geometric_degeneracy,catastrophic,0.0,0,0.0,691200,0.9792535120611114,0.772070985590427,0.9149202377228652,0.22292219175055167,19.712693823959874,0.1294653187472271,,,,,,,,,,
room,geometric_degeneracy,catastrophic,0.0,1,0.0,691200,0.9790920849677196,0.7687584158858567,0.8396598216137731,0.21984679805330137,19.701846265265136,0.13052907501370736,,,,,,,,,,
